T2M,RH2M,PS,datetime,hour,month,T2M_diff,RH2M_diff,PS_diff,T2M_roll_mean,RH2M_roll_mean,PS_roll_mean,T2M_roll_std,RH2M_roll_std,PS_roll_std,T2M_roll_dev,RH2M_roll_dev,PS_roll_dev
26.13,90.52,980.4,2025-09-29 23:00:00,23,9,-0.2699999999999996,0.20000000000000284,-0.3000000000000682,27.915000000000003,82.78375,981.5083333333333,3.0873416171315413,11.949887324373924,1.4370612121950852,-1.7850000000000037,7.736249999999998,-1.1083333333333485
25.87,90.87,980.0,2025-09-30 00:00:00,0,9,-0.259999999999998,0.3500000000000085,-0.39999999999997726,27.95875,82.66,981.4166666666666,3.048774967810946,11.845334432851693,1.4609903331928964,-2.0887499999999974,8.210000000000008,-1.4166666666666288
25.62,91.33,979.4,2025-09-30 01:00:00,1,9,-0.25,0.45999999999999375,-0.6000000000000227,28.002916666666668,82.54416666666667,981.3249999999999,3.0047577912472,11.741637511407433,1.5169334054539685,-2.3829166666666666,8.78583333333333,-1.9249999999999545
25.37,91.9,979.1,2025-09-30 02:00:00,2,9,-0.25,0.5700000000000074,-0.2999999999999545,28.048333333333332,82.42166666666667,981.2374999999998,2.9538459332037275,11.622510267904724,1.5835602431038753,-2.678333333333331,9.478333333333339,-2.137499999999818
25.12,92.5,979.0,2025-09-30 03:00:00,3,9,-0.25,0.5999999999999943,-0.10000000000002274,28.0925,82.2975,981.1458333333334,2.899034696914779,11.492125564925502,1.6481819144893861,-2.9725,10.2025,-2.1458333333333712
24.92,92.95,979.2,2025-09-30 04:00:00,4,9,-0.1999999999999993,0.45000000000000284,0.20000000000004547,28.136666666666667,82.1475,981.0541666666667,2.8392063598171027,11.320216333007995,1.693973760573435,-3.216666666666665,10.802500000000009,-1.8541666666666288
24.72,93.37,979.7,2025-09-30 05:00:00,5,9,-0.20000000000000284,0.4200000000000017,0.5,28.180000000000003,81.96000000000001,980.9583333333334,2.775449826448517,11.083265097316987,1.7031726575752304,-3.4600000000000044,11.409999999999997,-1.2583333333333258
25.44,91.96,980.2,2025-09-30 06:00:00,6,9,0.7200000000000024,-1.4100000000000108,0.5,28.214583333333334,81.85041666666666,980.8458333333333,2.7338919210961006,10.965333706600765,1.6579136094185243,-2.7745833333333323,10.109583333333333,-0.6458333333332575
26.65,85.58,980.9,2025-09-30 07:00:00,7,9,1.2099999999999973,-6.3799999999999955,0.6999999999999318,28.23041666666667,81.67791666666666,980.7249999999999,2.723219768178789,10.868286125103376,1.5343175795273372,-1.5804166666666717,3.902083333333337,0.1750000000000682
27.41,84.79,981.3,2025-09-30 08:00:00,8,9,0.7600000000000016,-0.789999999999992,0.39999999999997726,28.17125,81.93375,980.5999999999999,2.725051754594775,10.866177605804314,1.3403438884089438,-0.7612500000000004,2.856250000000003,0.7000000000000455
28.91,76.94,981.4,2025-09-30 09:00:00,9,9,1.5,-7.8500000000000085,0.10000000000002274,28.110416666666666,82.15416666666667,980.4875000000001,2.6899029870448588,10.700901594143843,1.1307221624966444,0.7995833333333344,-5.214166666666671,0.912499999999909
29.4,74.74,981.2,2025-09-30 10:00:00,10,9,0.48999999999999844,-2.200000000000003,-0.1999999999999318,28.030833333333334,82.41791666666667,980.3874999999999,2.61842952710371,10.421783198486064,0.9321842046346654,1.3691666666666649,-7.677916666666675,0.8125000000001137
