T2M,RH2M,PS,datetime,is_anomaly,anomaly_type,hour,month,T2M_diff,T2M_roll_mean,T2M_roll_std,T2M_roll_dev,RH2M_diff,RH2M_roll_mean,RH2M_roll_std,RH2M_roll_dev,PS_diff,PS_roll_mean,PS_roll_std,PS_roll_dev
1.99,81.01,997.8,2023-01-05 05:00:00,0,normal,5,1,-0.5000000000000002,8.709583333333333,5.3223731868950805,-6.719583333333333,0.9200000000000017,60.334166666666675,16.256440306822245,20.67583333333333,0.5,997.7583333333333,0.732426976129641,0.04166666666662877
1.61,81.45,998.7,2023-01-05 06:00:00,0,normal,6,1,-0.3799999999999999,8.700416666666666,5.334911660705941,-7.090416666666665,0.4399999999999977,60.809999999999995,16.713295670630387,20.640000000000008,0.900000000000091,997.7916666666666,0.7569484886654122,0.9083333333334167
3.92,69.78,999.7,2023-01-05 07:00:00,0,normal,7,1,2.3099999999999996,8.703750000000001,5.331766827234663,-4.783750000000001,-11.670000000000002,61.20250000000001,16.812584378323884,8.577499999999993,1.0,997.8416666666667,0.8407639728075396,1.8583333333333485
6.33,60.04,1000.5,2023-01-05 08:00:00,0,normal,8,1,2.41,8.711666666666666,5.327934314344632,-2.381666666666666,-9.740000000000002,61.51166666666668,16.715843738323752,-1.4716666666666782,0.7999999999999545,997.9000000000001,0.970432445065019,2.599999999999909
9.4,52.53,1000.9,2023-01-05 09:00:00,0,normal,9,1,3.0700000000000003,8.715,5.328356464116832,0.6850000000000005,-7.509999999999998,61.75333333333334,16.533783508363978,-9.223333333333336,0.39999999999997726,997.9666666666667,1.1149835899228142,2.9333333333332803
13.1,42.04,1000.7,2023-01-05 10:00:00,0,normal,10,1,3.6999999999999993,8.69,5.3053082523236945,4.41,-10.490000000000002,61.90875,16.31998489782441,-19.86875,-0.1999999999999318,998.0458333333332,1.2374515068818324,2.6541666666668107
15.35,37.33,1000.1,2023-01-05 11:00:00,0,normal,11,1,2.25,8.675833333333333,5.286223207272035,6.674166666666666,-4.710000000000001,61.937916666666666,16.273402139999625,-24.607916666666668,-0.6000000000000227,998.125,1.3065886548732641,1.9750000000000227
16.75,34.85,999.2,2023-01-05 12:00:00,0,normal,12,1,1.4000000000000004,8.669583333333334,5.276155945190684,8.080416666666666,-2.479999999999997,61.89541666666667,16.3456134201109,-27.045416666666668,-0.8999999999999773,998.1958333333333,1.3172696289531436,1.0041666666667197
17.53,33.46,998.3,2023-01-05 13:00:00,0,normal,13,1,0.7800000000000011,8.671666666666667,5.279794681998341,8.858333333333334,-1.3900000000000006,61.79625000000001,16.51688327597472,-28.336250000000007,-0.900000000000091,998.25,1.2924530098261673,0.049999999999954525
17.51,34.12,997.7,2023-01-05 14:00:00,0,normal,14,1,-0.019999999999999574,8.676666666666668,5.2884596809563975,8.833333333333334,0.6599999999999966,61.67958333333333,16.709007328557746,-27.559583333333336,-0.599999999999909,998.2916666666666,1.2559135482109143,-0.5916666666665833
16.58,38.3,997.6,2023-01-05 15:00:00,0,normal,15,1,-0.9300000000000033,8.677916666666667,5.290404750823535,7.902083333333332,4.18,61.57916666666666,16.847178557916404,-23.27916666666666,-0.10000000000002274,998.3333333333334,1.2132122889136208,-0.7333333333333485
